iter	Passed	Remaining
716	18869	7447
717	18894	7420
718	18920	7394
719	18943	7367
720	18967	7339
721	18991	7312
722	19015	7285
723	19042	7259
724	19070	7233
725	19104	7210
726	19130	7183
727	19164	7160
728	19187	7132
729	19210	7105
730	19232	7077
731	19254	7049
732	19278	7022
733	19304	6995
734	19332	6970
735	19363	6945
736	19388	6918
737	19415	6892
738	19444	6867
739	19476	6843
740	19507	6818
741	19530	6791
742	19553	6763
743	19579	6737
744	19604	6710
745	19635	6685
746	19663	6659
747	19689	6633
748	19716	6607
749	19742	6580
750	19766	6553
751	19793	6527
752	19818	6500
753	19843	6474
754	19867	6447
755	19897	6422
756	19925	6396
757	19954	6370
758	19981	6344
759	20004	6317
760	20031	6291
761	20054	6263
762	20079	6236
763	20108	6211
764	20134	6185
765	20158	6158
766	20181	6130
767	20204	6103
768	20226	6075
769	20249	6048
770	20274	6021
771	20299	5995
772	20323	5968
773	20351	5942
774	20381	5917
775	20410	5891
776	20440	5866
777	20466	5839
778	20489	5812
779	20511	5785
780	20535	5758
781	20558	5731
782	20579	5703
783	20600	5675
784	20625	5649
785	20648	5621
786	20672	5594
787	20694	5567
788	20718	5540
789	20742	5513
790	20765	5486
791	20790	5460
792	20814	5433
793	20839	5406
794	20864	5380
795	20891	5354
796	20917	5327
797	20944	5301
798	20974	5276
799	21003	5250
800	21032	5225
801	21062	5199
802	21091	5174
803	21119	5148
804	21150	5123
805	21173	5096
806	21201	5070
807	21225	5043
808	21253	5017
809	21279	4991
810	21301	4964
811	21325	4937
812	21348	4910
813	21374	4884
814	21401	4857
815	21427	4831
816	21455	4805
817	21481	4779
818	21514	4754
819	21549	4730
820	21580	4705
821	21609	4679
822	21633	4652
823	21658	4626
824	21685	4599
825	21709	4573
826	21733	4546
827	21757	4519
828	21782	4493
829	21805	4466
830	21829	4439
831	21852	4412
832	21874	4385
833	21898	4358
834	21922	4332
835	21945	4305
836	21970	4278
837	21993	4251
838	22022	4226
839	22054	4200
840	22090	4176
841	22124	4151
842	22149	4125
843	22174	4098
844	22199	4072
845	22221	4045
846	22245	4018
847	22268	3991
848	22293	3965
849	22316	3938
